creation_date,total_gigabytes_billed,query_type
2025-02-18,15270.9638671875,db292
2025-02-18,9177.5498046875,other
2025-02-18,8765.537109375,db319
2025-02-20,6255.42578125,other
2025-02-20,6112.6650390625,db293
2025-02-20,5142.484375,db319
2025-02-25,4706.08203125,other
2025-02-21,4434.2802734375,db293
2025-02-25,4222.123046875,db293
2025-02-23,3716.8427734375,db293
2025-02-19,3590.072265625,db293
2025-02-25,3548.16796875,db319
2025-02-24,2721.962890625,db293
2025-02-24,2608.625,db292
2025-02-26,1743.216796875,db293
2025-02-24,1624.203125,other
2025-02-21,1263.6875,other
2025-02-26,1135.005859375,other
2025-02-21,1131.0,db292
2025-02-18,947.35546875,db293
2025-02-19,890.5859375,other
2025-02-19,845.8154296875,db319
2025-02-23,822.0458984375,other
2025-02-26,658.2392578125,db292
2025-02-17,595.96875,db292
2025-02-17,357.4345703125,other
2025-02-17,281.6904296875,db293
2025-02-25,145.228515625,db292
2025-02-26,92.6748046875,preprocessing
2025-02-21,56.1201171875,preprocessing
2025-02-22,23.9072265625,other
2025-02-26,18.888671875,db319
2025-02-18,1.5498046875,preprocessing
2025-02-17,1.53125,db319
2025-02-25,0.861328125,preprocessing
2025-02-19,0.6669921875,preprocessing
2025-02-24,0.62109375,preprocessing
